Name,Role,Score,Trend,KDA
Trundle,TOP,35.29,-1.63,1.58
Tryndamere,MID,41.47,1.77,2.07
Tryndamere,TOP,40.25,-0.88,1.75
Twisted Fate,MID,43.98,-0.59,2.17
Twitch,ADC,46.23,3.18,2.37
Twitch,SUPPORT,33.25,0.76,2.08
Udyr,JUNGLE,39.12,0.8,2.5
Udyr,TOP,32.19,2.43,1.7
Urgot,TOP,46.28,0.42,1.94
Varus,ADC,45.2,-1.82,2.21
Varus,TOP,28.59,-14.81,1.71
Vayne,ADC,44.25,3.85,2.02
Vayne,TOP,35.52,4.94,1.55
Veigar,MID,54.59,-3.66,2.17
Veigar,ADC,39.26,7.06,2.22
Veigar,SUPPORT,28.09,0,1.8
Vel'Koz,MID,44.1,2.21,2.6
Vel'Koz,SUPPORT,41.32,1.55,2.14
Vex,MID,50.2,-2.15,2.37
Vi,JUNGLE,42.18,-13.38,2.3
Viego,JUNGLE,70.33,5.05,2.47
Viktor,MID,54.13,2.05,2.27
Vladimir,MID,54.65,3.61,2.42
Vladimir,TOP,34.53,-0.44,2.05
Volibear,TOP,36.96,-0.57,1.64
Volibear,JUNGLE,33.68,-1.42,2.64
Warwick,JUNGLE,49.91,-3.99,2.17
Warwick,TOP,36.27,-3.06,1.79
Wukong,JUNGLE,38.79,-4.57,2.64
Wukong,TOP,33.59,0.72,2.06
Xayah,ADC,52.38,1.57,2.3
Xerath,SUPPORT,53.03,0.58,2.48
Xerath,MID,48.19,-2.63,3.13
Xin Zhao,JUNGLE,38.19,0.99,2.25
Yasuo,MID,85.15,-2.72,1.76
Yasuo,TOP,43.76,-2.39,1.49
Yasuo,ADC,40.1,7.72,2.01
Yone,MID,58.02,-1.12,1.89
Yone,TOP,57.2,1.88,1.63
Yorick,TOP,48.83,0.63,1.52
Yuumi,SUPPORT,69.04,-4.32,4.18
Zac,JUNGLE,53.35,0.93,3.59
Zac,TOP,44.32,-2.26,2.69
Zed,MID,90.84,2.83,2.26
Zeri,ADC,39.89,0.19,2.27
Ziggs,MID,43.66,4.37,2.34
Ziggs,ADC,41.4,7.33,2.48
Ziggs,SUPPORT,31.09,-3.87,1.98
Zilean,MID,52.02,4.9,3.52
Zilean,SUPPORT,45.21,1.15,3.03
Zoe,MID,49.82,1.34,2.6
Zoe,SUPPORT,32.21,-1.45,2.11
Zyra,SUPPORT,46.64,-0.95,2.06
